Isaac_Newton	Narodenia_v_1643 Úmrtia_v_1727 Anglickí_filozofi Anglickí_fyzici Anglickí_matematici Optici Alchymisti Okultisti
Matematika	Matematika
Literatúra	Literatúra
Fyzika	Fyzika
Francúzsko	Krajiny_EÚ Èlenovia_NATO Èlenovia_OSN Štáty_v_Európe
